id,name,reason,cluster_id,group name,group description
0,voice command feature,user wants to talk to the ai for recommendations like 'serious spy series';,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
1,expand content choices,user feels limited by the few icons and choices available;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
2,expand content library,"user found limited recommendations, suggesting an expansion of the content library.;",2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
3,smart recommendation engine,"user wants a smart engine for recommendations based on richer content descriptions, similar titles, and timing/mood.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
4,profile matching feature,user suggests a feature to connect and match profiles with their spouse to find common interests for watching together.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
5,ai chat assistant,user recommends adding an ai chat assistant that learns from user's prompts and history to provide personalized advice.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
6,distinguish chat-prompt bubbles from content labels,"the design of chat-prompt bubbles and content labels for movies/tv shows are very similar, making it confusing for users. consider differentiating their designs.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
7,feature request: share recommendations,user suggests adding the ability to share recommendations with friends.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
8,more options in mood categories,"user suggests adding more options in mood categories, including movies from other platforms like youtube.;",3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
9,show movies from non-subscribed apps,user requests an option to display movies from apps they are not subscribed to when options run out.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
10,user feedback interview,perform topic modeling on the user feedback interview;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
11,letterboxd support,user mentioned letterboxd support in the interview.;,-1,Outliers,Each problem should be analysed separately.
12,add feedback option for recommendations,user wants the ability to provide feedback on recommendations when pressing thumbs down and selecting another one.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
13,text message feature,user misses the text message feature.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
14,connect with partner and friends,allow users to connect with their partner and friends within the app.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
15,tag recommendations,enable users to tag recommendations for watching later.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
16,to watch list,add a feature to create a 'to watch' list for users.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
17,include ratings from rotten tomatoes and imdb,add external ratings to provide more information about the content;,-1,Outliers,Each problem should be analysed separately.
18,create a netflix rating system,allow users to rate content within the platform;,-1,Outliers,Each problem should be analysed separately.
19,recommend and share content with friends,add a feature to recommend and share content with friends;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
20,add a kids category or mood,include a separate category or mood for kids content;,-1,Outliers,Each problem should be analysed separately.
21,expand title suggestions,user wants more title suggestions in their desired categories.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
22,improvement suggestion,"smooth and fast user experience, minimize time, clicks, and work required to reach the end goal;",-1,Outliers,Each problem should be analysed separately.
23,improve user retention and engagement,"explore additional use cases for the app to increase user retention and engagement, such as integrating imdb-like features or options like 'more from this actor'.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
24,home button clarity,user is unsure about the purpose of the home button and suggests improving its functionality or removing it.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
25,mark saved movies as seen,user requests the ability to mark saved movies as seen.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
26,link imdb or apple tv account,integrate netflix with imdb or apple tv account for live recommendations.;,-1,Outliers,Each problem should be analysed separately.
27,improve matching accuracy,enhance the accuracy of movie and tv show matches in netflix.;,7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
28,improve netflix for less active watchers,"user suggests improving netflix for those who are not actively watching, as they may not be the best target group.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
29,flag watched content,user suggests flagging already watched shows/movies;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
30,add specials category,user requests a category for specials;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
31,improvement suggestion,add more categories;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
32,safe cards and genre exploration,user suggests providing safe cards initially and allowing exploration of more genres based on usage.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
33,customization options,"user wants more customization options, such as choosing categories and setting minimum ratings.;",2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
34,loading speed,user finds the loading speed to be slow and would like it to be faster.;,-1,Outliers,Each problem should be analysed separately.
35,chat interaction,"user would like to interact with the chat feature, as it is the new standard.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
36,improve content suggestions,suggest more content that the user hasn't seen or chose not to watch.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
37,improve recommendation variety,increase the variation of recommendations provided;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
38,customize recommendation algorithm,allow users to easily adapt the algorithm and tweak recommendation settings;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
39,preference update issue,"user unable to change preferences, receiving unwanted recommendations.;",-1,Outliers,Each problem should be analysed separately.
40,multiplayer mode,user suggests adding a multiplayer mode to connect accounts with their spouse.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
41,interactivity with recommendations,user wants the ability to interact with the app when it recommends movies and series;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
42,request for multiplayer mode,user wants to connect their account with their spouse for a multiplayer experience.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
43,need more information about recommendations,user wants more information about the recommended movies.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
44,mark movies as watched,user wants the ability to mark movies as watched and remove them from the bookmark page.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
45,like button issue,user is unable to press the like button.;,-1,Outliers,Each problem should be analysed separately.
46,theme changing problems,user had initial problems changing the theme and the theme changing back.;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
47,app relevance,"user does not see the point of the app, as they have either seen the content or the match is wrong.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
48,integration with imdb and apple tv,user would like the ability to link their imdb or apple tv account for live recommendations.;,-1,Outliers,Each problem should be analysed separately.
49,wdyt confusion,user did not initially understand the meaning of wdyt.;,-1,Outliers,Each problem should be analysed separately.
50,sharing recommendations,user wanted to share a movie recommendation with a friend and had to use a screenshot.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
51,thumbs down interaction,"user expected a new recommendation after clicking thumbs down, but had to click twice.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
52,description visibility,user found it annoying to open a new window to read the full description of a recommendation.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
53,feedback on dislikes,user wants to provide more information on why they disliked a recommendation.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
54,login issue,copy from message feature not working for invite code;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
55,invite code editing,difficulty in editing the invite code;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
56,text display,"texts not showing correctly (tv-show, movie);",7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
57,chat button,clicking the chat button did nothing;,-1,Outliers,Each problem should be analysed separately.
58,wdyt meaning,user did not understand the meaning of wdyt initially.;,-1,Outliers,Each problem should be analysed separately.
59,responding to wdyt,user was unsure how to respond to the wdyt question.;,-1,Outliers,Each problem should be analysed separately.
60,saving movie history,user forgot to save a movie and lost their history.;,-1,Outliers,Each problem should be analysed separately.
61,sharing movie recommendations,user wanted to share a movie recommendation with a friend but had to use a screenshot.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
62,thumbs down interaction,user expected a new movie recommendation after clicking thumbs down but had to click twice.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
63,content recommendation,user stopped watching a recommended show due to its political correctness.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
64,include ratings from rotten tomatoes and imdb,user requests integration of rotten tomatoes and imdb ratings in the netflix app.;,-1,Outliers,Each problem should be analysed separately.
65,create your own rating system,user suggests the ability to create and submit their own ratings for content.;,-1,Outliers,Each problem should be analysed separately.
66,recommend and share content with friends,user wants the ability to recommend and share content with friends through the netflix app.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
67,add 'kids' as a category or mood,user requests a separate 'kids' category or mood for more age-appropriate content suggestions.;,-1,Outliers,Each problem should be analysed separately.
68,login issue with finnish or danish phone number,can't log in with finnish or danish phone number;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
69,sms 2fa auto-fetch issue,the app can only fetch the first number of the sms 2fa automatically;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
70,app error message,received 'oops something went wrong' error message;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
71,movie recommendation feedback,"wants option to say 'i've seen this before, recommend something similar';",6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
72,thumbs up button issue,thumbs up button didn't work;,-1,Outliers,Each problem should be analysed separately.
73,smooth and fast user experience,wants a smoother and faster user experience;,-1,Outliers,Each problem should be analysed separately.
74,login issues,user is having trouble logging in and not receiving sms code for authentication. user is based in denmark.;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
75,improve recommendation system,user wants a way to inform the system about seen and unseen content to get better recommendations.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
76,mood-based chat improvement,user suggests combining mood and genre in a clearer way.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
77,sms verification code issue,user could not paste the verification code in the form.;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
78,more flexibility in recommendations,user wants more flexibility in recommendations and the ability to ask for specific categories.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
79,saving recommendations in chat,user suggests the ability to save recommendations directly in the chat.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
80,app integration with tv and streaming services,user would like the app to be integrated with their tv and streaming services.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
81,more titles and suggestions,user wants more titles and suggestions in their desired categories.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
82,improve show descriptions,user had to visit imdb to understand the show's plot as the netflix description was not informative.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
83,more categories,user would like more categories to choose from.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
84,expand recommendations,increase the number of titles available in the service.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
85,richer content descriptions,provide more detailed information about each title.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
86,title twins,recommend similar titles based on user preferences.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
87,mood-based recommendations,suggest titles based on user's mood and timing.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
88,profile matching,connect multiple profiles to find common title preferences.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
89,ai chat assistant,implement an ai assistant that learns from user's prompts and history.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
90,no pictures in the app,user mentioned the absence of pictures in the app.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
91,sports preferences,"user suggests improving sports recommendations by filtering out sports they don't like, such as f1.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
92,training the algorithm,user is unsure if giving feedback is training the algorithm.;,-1,Outliers,Each problem should be analysed separately.
93,more feedback options,"user suggests more feedback options, such as liked or didn't like.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
94,preference settings issue,"user unable to change preferences, receiving unwanted adventure recommendations.;",3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
95,poor recommendations,user did not find any good recommendations and had to rely on external sources.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
96,issue with sms-code input,user got stuck after receiving the sms-code and couldn't write the code in.;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
97,report bugs,user wants to know how to report bugs and duplicates in movie recommendations.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
98,remove movie from recommendations,user wants the ability to remove a specific movie/series from their recommendations.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
99,ai learning user behavior,user wants the ai to learn more about their behavior and suggest content based on that.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
100,delete movies from saved tab,user wants the ability to delete movies from the saved tab.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
101,recommendation explanation text,user suggests changing the font and reducing the repetitive text in recommendation explanations.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
102,user retention and engagement,user suggests adding features like 'more from this actor' to improve user retention and engagement.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
103,chatbot response icons,"user suggests adding explanations for the thumbs up, thumbs down, and eyes icons in the chatbot response field.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
104,feedback loop for watched movies,user suggests adding pre-set responses for users to choose when they don't want to write a full evaluation.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
105,flag watched shows/movies,add the ability to flag already watched shows and movies.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
106,category for specials,include a category for special episodes or events.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
107,repetitive recommendations,user gets the same 3 recommendations repeatedly.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
108,mismatched content,user gets movies when asking for tv-shows.;,7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
109,description sentiment,user was put off by the description sentiment of a movie.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
110,additional mood categories,user suggests adding 'hungover' and 'wind down after work' mood categories.;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
111,mismatched mood,user asked for 'tense' and got a non-tense recommendation.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
112,long recommendation process,user had to ask for another one 56 times before getting a good recommendation.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
113,error message in mood categories,user encountered an error message in all mood categories.;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
114,history tab and mood filtering,user suggests implementing a history tab and improving mood filtering.;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
115,increased variation,user wants more variation in recommendations.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
116,algorithm customization,user wants to easily adapt the algorithm for recommendations.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
117,platform availability,user found a movie on a platform they don't subscribe to.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
118,tv shows vs movies,user is getting more tv shows than movies they haven't seen.;,7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
119,login issue,"login is not working with the provided code, user gets stuck and cannot move forward.;",1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
120,duplicate mood categories,duplicate mood categories are present in the app.;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
121,repeated recommendations,the same recommendations are shown multiple times.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
122,duplicate recommendations in same session,duplicate recommendations appear quickly within the same session.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
123,persistent recommendations,"movies like pinocchio, street tunes, everything everywhere, and dredd are suggested repeatedly.;",6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
124,family friendly category issue,pinocchio and good night oppy appear multiple times in a row in the family friendly category.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
125,switching between tv show and movie,unable to switch back to tv show from movie without restarting the app.;,7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
126,filter by genre,"allow users to filter movie suggestions by genre, such as thriller.;",6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
127,customization options,"add options to choose a category, set minimum rating, and other preferences.;",2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
128,loading speed,improve loading speed for a better user experience.;,-1,Outliers,Each problem should be analysed separately.
129,interactive chat,integrate an interactive chat feature for better user engagement.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
130,more movie suggestions,provide more movie suggestions for users to choose from.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
131,okko link,"i got an okko link, what's that?;",-1,Outliers,Each problem should be analysed separately.
132,video clips flow,it would be nice to have a flow of video clips; some people may just want to watch them without starting a movie.,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
133,app usage while waiting,"mostly to hang out in the app while waiting for the bus, for example.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
134,tiktok-like feature,"like a tiktok, for those who don't feel like reading.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
135,more content,more content that can be helpful in inspiring people on what to watch.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
136,login issue,"couldn't log in, american flag missing so couldn't add phone number.;",1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
137,app stickiness,"app not as sticky in user's life as desired, possibly due to user's limited tv consumption.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
138,design affordance,"chat prompt defaults look similar to content tags, causing confusion in user interaction.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
139,confusing start,"user found it confusing to start using the app, especially with the chat feature.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
140,menu simplification,"suggestion to join profile, bookmark, or home menus to make navigation easier.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
141,ui issues on ipad,"text size is bigger than buttons or tags, making it hard to read on ipad.;",7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
142,inconsistent logo,"the mark logo is different in different sections, causing confusion.;",3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
143,missing film year,films do not display the release year.;,-1,Outliers,Each problem should be analysed separately.
144,multiple attempts for recommendations,user needed 2-3 attempts to find a movie they liked due to generic recommendations.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
145,image sizing issue,film images do not fit properly in the designated image box.;,7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
146,chat options clarity,"when chat offers too many options, it becomes hard to read.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
147,confusing emoji,"the eyes emoji is confusing, and user had to click to understand it meant 'i watched'.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
148,login issues,user is having trouble logging in and not receiving sms with the code.;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
149,sms delivery problem,user based in denmark is not receiving a response sms with the code.;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
150,suggestion for improvement,user suggests providing safe cards initially and allowing exploration of more genres later.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
151,inaccurate recommendations,received 3 war movies in a row when picking 'for the couples';,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
152,navigation issues,couldn't go back to the previous mood;,3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
153,adjust interests/genres,add a way to adjust interests/genres inside the app;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
154,home button confusion,user doesn't understand the purpose of the home button;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
155,mark movies as seen,add the ability to mark movies as seen and clear bookmarks;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
156,unavailable movie,user tried to watch a movie that was no longer available;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
157,hbo max issues,user can't find suggested movies on hbo max;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
158,incorrect poster,user received a weird picture as a movie poster;,7,Text and Image Display Issues,This topic covers issues related to incorrect text and image display in movies and TV shows on various devices.
159,technical issues,were there any technical issues or bugs?;,1,SMS and Login Issues,"This topic covers problems with receiving SMS codes and logging in, including issues with phone numbers and invite codes."
160,netflixs repetition,netflixs keep appearing in the app even after being seen.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
161,bookmark disappearing,"bookmark disappears after adding a movie, should stay and be filled in.;",0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
162,like button issue,like button not working properly.;,-1,Outliers,Each problem should be analysed separately.
163,play icon expectation,"expected a trailer when clicking play icon, not opening hbo/netflix.;",6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
164,categorize saved items,allow saved items to be categorized with actionable titles.;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
165,navigation indicator,add visual indication of the active tab in the bottom navigation.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
166,alternative platform options,show options to rent a movie from another platform if available.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
167,home screen text,shorter and snappier text on the home screen.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
168,mark as viewed,add a function to mark movies and shows as viewed.;,0,Bookmark and Watched Content Management,This topic covers issues related to managing bookmarks and marking movies/shows as watched.
169,post-watch feedback,allow users to give feedback on a movie after watching it.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
